	Wort	Emotionalität	Situation
0	Vul	neu	A neighbor's kid asks you for help with a math homework. You start to calculate and realize that a value is missing to solve the equation.
1	Vul	emo	You ponder whether you passed your last exam and can finish your studies within the standard period of study. You are tense and nervous to the breaking point.
2	Vul	neu	You started writing your homework early. You come to a point where you need information that you guys won't discuss until next week.
3	Vul	emo	You had an argument with your partner. You bitterly ponder how to resolve your conflict. You are restless and cannot think clearly.
4	Vul	neu	You have to choose between two job offers. You notice on your pro/con list that a company is still missing important information in order to make a decision.
5	Vul	emo	Your thoughts revolve all the time around the question of whether you should change your job or not. It could be a big mistake to go, but you could also miss something. It is to despair.
6	Vul	neu	You have to get a Secret Santa gift for a work colleague. You don't know him/her that well and think about asking another colleague about his or her preferences.
7	Vul	emo	There is a fight in your circle of friends. You are unsure what to say. You don't want to hurt anyone. You are sensitive and concerned.
8	Vul	neu	You want to change your internet contract. There is a form online to apply for this. You don't have your customer number in your head, but you need it for the form.
9	Vul	emo	You sit lonely and upset in your apartment. Again and again you feverishly roll over the events. How did this nasty breakup come about?
10	Neif	neu	You are working on a large project on an app for your employer. This should enable employees to contact each other. Your employer paid you for a programming course.
11	Neif	emo	You are enthusiastic about developing an app for a children's hospital. It is very important to you as you know the value of friendship and comfort in difficult times. You work hard at it every day.
12	Neif	neu	You have been asked to create a logo for a club around the corner from you. You use your skills in a computer program to create multiple designs.
13	Neif	emo	You happily plan a karaoke night at a nursing home. You have seen how much fun singing is for the residents and you do everything you can to do something good for them.
14	Neif	neu	To save time at work by explaining a common computer problem. You use your experience and create detailed, step-by-step instructions for all employees.
15	Neif	emo	In your free time you organize a big charity gala with dedication. You use every free minute with motivation, the good cause is close to your heart.
16	Neif	neu	You thought it would be handy to have storage space under the bed. You use wood from the basement and your tools to build a drawer unit yourself.
17	Neif	emo	You spare no expense or effort to build your father a long-desired bookshelf. You buy high-quality materials and watch motivated tutorials. He deserves it.
18	Neif	neu	You and your siblings want to start a business. You share the work among yourself and everyone contributes their part.
19	Neif	emo	You are enthusiastically developing the new homepage for a friend. You love him*her very much and want the homepage to make him*her happy.
20	Zimerhubst	neu	You went to bed late last night because you made a to-do list for work. You need a stronger coffee than usual to wake up properly.
21	Zimerhubst	emo	You slept poorly last night because you were worried about failing at work today. Now you feel powerless and it seems completely hopeless to be able to meet the deadline.
22	Zimerhubst	neu	You went to bed late last night because you wanted to watch another episode of your series. Now you need some time to really wake up. Your eyelids are heavy.
23	Zimerhubst	emo	You didn't sleep a wink last night because today's presentation scared you. You are trying desperately to concentrate. You are totally exhausted.
24	Zimerhubst	neu	You stayed up later than usual last night because you were still on the phone. You're kind of sluggish and you buy an energy drink on your way to work.
25	Zimerhubst	emo	Worries about today's interview kept you awake. You're now sitting dejected in the waiting area and could collapse.
26	Zimerhubst	neu	You were at a party last night and didn't get home until late. Today you are slower than usual and you need a little longer for everything.
27	Zimerhubst	emo	You didn't sleep last night because you had an argument with your partner in the evening. You feel completely powerless and helpless. You can hardly keep your eyes open from exhaustion.
28	Zimerhubst	neu	You sorted out your old clothes last night and lost track of time. When you wake up, you realize that your circulation is not really getting going.
29	Zimerhubst	emo	You were very restless last night because your mother is in the hospital and you are worried about her. You feel miserable and don't know how to make it through the day.
30	Zwelde	neu	You wake up as a child and you can still remember the story from your dream. You were in the forest and there were animals in it.
31	Zwelde	emo	As a child, you wake up satisfied from a beautiful dream. It's almost Christmas and you've been dreaming of great presents.
32	Zwelde	neu	You woke up this morning and remembered your dream unusually well. You review the dream.
33	Zwelde	emo	You wake up from a wonderful dream in which you were praised and promoted by your boss. You feel inspired and happy.
34	Zwelde	neu	You wake up in the morning and for a moment you don't know where you are. You dreamed that you were with your parents, but you are in your own apartment.
35	Zwelde	emo	The sun on your face gently wakes you up. You dreamed that you were relaxing on the beach. You smile and enjoy the cozy warmth.
36	Zwelde	neu	You wake up in the morning after dreaming that all people own planes instead of cars. You remember your dream well.
37	Zwelde	emo	You had an amazing lunchtime daydream about how you're going to have fun with your friends over the weekend. This motivates you to work.
38	Zwelde	neu	Last night you dreamed about the series that you currently watch in the evenings. The main characters also appeared in your dream.
39	Zwelde	emo	You dreamed of a romantic date with your crush last night. You smile blissfully and wish you could always dream like this.
40	Herklögen	neu	After work you sit at dinner with your roommates in the shared kitchen. You've been living together for two years. You eat together and talk about your day.
41	Herklögen	emo	You meet up with your best friend. His*her mere presence calms you down and you feel everyday stress melt away and you relax.
42	Herklögen	neu	After work, your partner will be waiting for you at home. You start a new series together after dinner.
43	Herklögen	emo	You come home from work and your partner hugs you lovingly. You relax and feel safe.
44	Herklögen	neu	You are visiting a friend. You drink coffee together and go for a walk. You talk about this and that.
45	Herklögen	emo	You're going home for a long weekend. You enjoy the time with your parents and feel protected like a child. you love her very much
46	Herklögen	neu	You're at work and you're making yourself a coffee. Your colleague comes into the kitchen and also makes himself a coffee. You talk briefly during your break.
47	Herklögen	emo	You go out after work with some nice co-workers. You feel deep affection, your colleagues are almost like family.
48	Herklögen	neu	You go to a café at the weekend. You happen to meet an old friend there. You talk a little because you haven't seen each other for a long time.
49	Herklögen	emo	You are at a tournament with your team at the weekend. You enjoy this day with your friends. The familiar company is good for you and you are happy.
50	Preier	neu	You receive an invitation to a party scheduled for the weekend. You are considering going, but you still have a lot to do, which is why you are staying at home.
51	Preier	emo	You were subsequently invited to a party as the last person in your circle of friends. You feel devalued and insulted. You get defiant and lie that you already have a date.
52	Preier	neu	Your cell phone has a reduced battery life. You tell your brother about it and he offers you his old cell phone. You're not taking it so he can sell it.
53	Preier	emo	Your colleague successfully gives a presentation that you worked on. You pretend to be happy, but blame your colleague for not appreciating your cooperation.
54	Preier	neu	Your work colleagues ask you if you would like to have lunch with them at the diner around the corner. You decline because you brought something to eat from home.
55	Preier	emo	A couple of work colleagues share a cake in the kitchen. You're hoping to be offered a piece, but you don't want to seem greedy. So you pretend you happen to have something to do in the kitchen.
56	Preier	neu	After visiting an acquaintance, you are offered a ride home. It would be a detour for her*him, which is why you decline the offer.
57	Preier	emo	You crave your crush's attention. You stubbornly ignore him*her to keep your pride. It tears you up inside not to talk to him*her.
58	Preier	neu	You are offered a seat on the tram for carrying heavy shopping bags. You don't want anyone to stand up for you, so you refuse. You stay put for the ride.
59	Preier	emo	You get a message from your crush. You pretend you don't have time to reply so as not to seem desperate. You miss him*her terribly.
60	Muschürdur	neu	You wake up in the morning and you're still tired. You wonder why, because you actually got enough sleep. Sometimes your sleep doesn't seem so restful.
61	Muschürdur	emo	You wake up feeling a deep sadness inside you, for no particular reason. It weighs you down all day and you feel overwhelmed.
62	Muschürdur	neu	You're at work on your computer when the crook of your arm starts itching for no apparent reason. You wonder why, but just keep working.
63	Muschürdur	emo	At work you find yourself in tears. You are stunned that desperation overtakes you so suddenly and you feel helpless.
64	Muschürdur	neu	After a phone call, you notice a rumbling in your stomach. You haven't actually eaten anything wrong. You try to distract yourself and make yourself some tea.
65	Muschürdur	emo	After a phone call with a friend, you suddenly become very melancholic. You're at a loss as to why you're so sad, but you can't get rid of this melancholy.
