	Wort	Emotionalität	Sentiment Score	Valence Rating	Korrelation	Interpretation
0	Wunicher	emo	[0.1779, 0.8248, -0.4404, 0.2023, -0.7506, 0.5171, 0.9612, 0.7003, -0.3182, -0.5033, 0.0, -0.6369, -0.2023, 0.836, 0.9477, -0.743, -0.9423, -0.9287, -0.2732, 0.7184, -0.1027, -0.6597, 0.9786, -0.8519, 0.8779, 0.3818, -0.8979, -0.8885, 0.9274, -0.8442, 0.0516, -0.5423]	[-3, -2, -2, -2, -2, -1, -2, -1, -2, -2, -2, 2, -2, -2, -2, -2, -1, 1, -2, -3, 2, -3, -3, -2, 0, 2, 1, 1, 0, -2, -2, -2]	(-0.1780765444663414, 0.32951177333158205)	weak
1	Wunicher	neu	[0.0, -0.6369, 0.3612, 0.1027, -0.5136, -0.9081, 0.0, 0.6908, 0.6597, 0.5267, 0.7648, 0.4404, 0.0, -0.836, -0.296, -0.4404, 0.4588, -0.7623, 0.8934, 0.0, 0.9118, 0.7269, -0.1446, 0.9136, 0.4215, -0.8316, 0.0258, -0.8689, 0.4019, -0.4588, -0.5423, 0.802, -0.2732]	[-2, -1, -2, -1, 1, -2, -2, -1, -1, -2, -1, -1, -2, 0, -1, -1, -2, -2, -1, 0, 0, -2, -2, 1, -1, -1, -1, -1, -1, -2, -2, -3, 0]	(0.0017224142096460213, 0.9924098473114581)	weak
2	Neif	emo	[0.5994, 0.25, 0.4404, 0.6486, 0.4588, -0.6369, -0.4106, -0.872, 0.8225, 0.7351, 0.743, 0.0, 0.7906, 0.9451, -0.8176, -0.5574, 0.8126, -0.7003, -0.128, -0.9022, -0.8176, -0.128, 0.6808, 0.9382, 0.0, 0.836, 0.128, 0.2732, 0.872, -0.836, 0.5994, 0.8658, 0.926]	[3, 3, 2, 1, 1, 3, 1, 3, 1, 2, -2, 2, 0, 2, 3, 2, 2, -3, 2, 3, 2, 2, 3, 2, 2, 0, 2, 3, 1, 3, 3, 3, 2]	(-0.15283521230277194, 0.39581277878694)	weak
3	Neif	neu	[0.1531, -0.8225, 0.926, -0.1531, -0.3246, 0.5267, 0.2732, 0.7269, 0.7845, -0.1779, -0.872, 0.5574, 0.1027, -0.2023, 0.5719, -0.6808, -0.8979, -0.3182, 0.0, 0.4215, -0.5859, -0.7506, -0.9201, 0.8807, -0.128, 0.93, 0.8481, 0.7506, 0.7717, -0.8519, 0.5994, 0.25, -0.836]	[1, 2, 0, 3, 1, 2, 0, 1, -1, 0, 1, 1, 0, 1, 2, 1, 1, 1, 1, 2, 2, 3, 2, -1, 1, 2, 1, 3, 1, 1, 2, 1, 2]	(-0.2544833734814341, 0.15295223176669495)	weak
4	Zimerhubst	emo	[0.7717, 0.1779, 0.7717, -0.6908, -0.3612, 0.2263, -0.9136, 0.0, 0.6369, -0.0516, 0.0, 0.802, -0.9287, 0.7906, 0.9661, -0.3818, 0.9482, 0.7506, -0.8807, 0.6249, 0.6124, -0.6124, 0.2263, 0.5859, 0.6597, -0.8481, -0.6486, 0.6486, -0.765, 0.7351, -0.8935, -0.765]	[-3, -3, -2, -2, -3, -2, -2, -3, -3, -2, -3, 1, -2, -3, -2, -3, 0, -1, -2, -2, 2, 3, -3, -2, 1, -2, -1, 0, -1, -3, -3, -3]	(0.13858781314460283, 0.4493845070364335)	weak
5	Zimerhubst	neu	[0.9231, 0.9022, -0.5994, -0.6249, 0.8779, 0.9118, -0.2023, 0.8807, -0.93, 0.0, 0.0, 0.4939, 0.8834, -0.25, 0.0, -0.6249, 0.25, 0.7269, 0.5106, -0.836, 0.0, -0.8271, -0.8176, 0.8934, -0.6588, -0.3182, 0.6597, 0.7269, -0.8934, -0.7101, 0.3818, 0.7964]	[-1, -1, -2, 1, -1, 0, -2, -1, -1, -1, -1, -2, 1, 0, -2, -2, 0, -2, -2, -1, -2, -1, 1, -1, -1, -1, -1, -1, -1, -2, -3, 2]	(0.07602572861896824, 0.6791998046222961)	weak
6	Zwelde	emo	[-0.6124, -0.128, -0.3182, -0.5859, 0.7351, 0.8834, 0.9686, 0.2878, -0.4019, 0.8442, -0.946, 0.7906, -0.7269, 0.1779, 0.0, 0.34, -0.7269, -0.9683, 0.765, 0.4215, 0.9274, -0.91, -0.5267, -0.891, -0.3612, 0.8807, 0.9468, 0.6369, 0.3818, 0.93, -0.7579, -0.9022, -0.3818]	[3, 3, 3, 3, 2, 3, 2, 2, 2, 3, 3, 2, 1, 0, 3, 2, 3, 3, 2, 3, 0, 2, 3, 3, 2, 1, 2, 3, 0, 2, 3, 3, 2]	(-0.37283506096389585, 0.03260480422958626)	moderate
7	Zwelde	neu	[-0.5267, 0.9062, 0.6486, -0.9246, -0.8316, 0.0772, 0.2023, -0.4215, 0.9371, 0.6124, 0.8176, 0.8074, -0.872, 0.0, 0.886, 0.8555, 0.2263, 0.6124, 0.8442, 0.34, 0.8979, 0.8957, 0.7964, -0.3182, 0.7579, 0.296, 0.9485, -0.4019, 0.765, 0.8176, 0.0, 0.7579]	[2, 1, 2, 3, 0, 1, 0, 2, 0, 2, 3, 0, 0, 2, 1, 2, 0, 1, 2, 1, 1, -1, 1, 0, 1, 1, 1, 0, 0, 0, 2, 2]	(-0.04953898566300369, 0.7877368042621999)	weak
8	Herklögen	emo	[-0.6597, -0.4588, -0.7308, 0.0516, -0.6705, -0.4063, -0.6597, 0.9169, -0.4767, -0.1779, 0.0, 0.7964, -0.6908, 0.34, -0.7845, -0.9042, -0.9289, -0.9001, 0.8074, 0.6705, 0.8658, -0.8689, 0.6597, -0.7269, 0.9186, -0.8625, -0.0772, -0.5379, -0.8555, 0.8225, -0.6249, 0.9538]	[3, 2, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 1, 3, 0, 3, -3, 3, 3, -1, 2, 3, 3, 3, -1, 3, 3, 0, 1, 3, 3, 3]	(0.09050778605393121, 0.6222722575840022)	weak
9	Herklögen	neu	[0.6486, 0.2732, -0.6124, -0.8625, 0.959, 0.9118, 0.4767, 0.9442, 0.743, 0.8555, 0.891, -0.3818, 0.0, 0.9403, 0.0, 0.2732, 0.8885, 0.5106, -0.4215, 0.936, 0.5267, -0.2732, -0.7688, 0.1531, -0.0516, -0.4922, 0.7506, -0.9186, -0.4404, 0.7184, -0.6249, 0.0, 0.9432]	[1, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 3, 2, 2, 1, 3, 1, 2, 2, 3, 2, 0, 1, 0, 1, 3, 1, 2, 2, 1, 1, 2, 1]	(-0.07167863266635902, 0.6918128593103119)	weak
