	Wort	Emotionalität	Situation	Sentiment Score	Interpretation
0	Vul	neu	A neighbor's kid asks you for help with a math homework. You start to calculate and realize that a value is missing to solve the equation.	0.5719	emotional
1	Vul	emo	You ponder whether you passed your last exam and can finish your studies within the standard period of study. You are tense and nervous to the breaking point.	-0.5423	emotional
2	Vul	neu	You started writing your homework early. You come to a point where you need information that you guys won't discuss until next week.	0.0	neutral
3	Vul	emo	You had an argument with your partner. You bitterly ponder how to resolve your conflict. You are restless and cannot think clearly.	-0.8205	emotional
4	Vul	neu	You have to choose between two job offers. You notice on your pro/con list that a company is still missing important information in order to make a decision.	-0.1027	neutral
5	Vul	emo	Your thoughts revolve all the time around the question of whether you should change your job or not. It could be a big mistake to go, but you could also miss something. It is to despair.	-0.6757	emotional
6	Vul	neu	You have to get a Secret Santa gift for a work colleague. You don't know him/her that well and think about asking another colleague about his or her preferences.	0.6124	emotional
7	Vul	emo	There is a fight in your circle of friends. You are unsure what to say. You don't want to hurt anyone. You are sensitive and concerned.	0.2626	neutral
8	Vul	neu	You want to change your internet contract. There is a form online to apply for this. You don't have your customer number in your head, but you need it for the form.	0.0772	neutral
9	Vul	emo	You sit lonely and upset in your apartment. Again and again you feverishly roll over the events. How did this nasty breakup come about?	-0.8537	emotional
10	Neif	neu	You are working on a large project on an app for your employer. This should enable employees to contact each other. Your employer paid you for a programming course.	0.0	neutral
11	Neif	emo	You are enthusiastic about developing an app for a children's hospital. It is very important to you as you know the value of friendship and comfort in difficult times. You work hard at it every day.	0.8479	emotional
12	Neif	neu	You have been asked to create a logo for a club around the corner from you. You use your skills in a computer program to create multiple designs.	0.4939	neutral
13	Neif	emo	You happily plan a karaoke night at a nursing home. You have seen how much fun singing is for the residents and you do everything you can to do something good for them.	0.8689	emotional
14	Neif	neu	To save time at work by explaining a common computer problem. You use your experience and create detailed, step-by-step instructions for all employees.	0.3818	neutral
15	Neif	emo	In your free time you organize a big charity gala with dedication. You use every free minute with motivation, the good cause is close to your heart.	0.9287	emotional
16	Neif	neu	You thought it would be handy to have storage space under the bed. You use wood from the basement and your tools to build a drawer unit yourself.	0.0	neutral
17	Neif	emo	You spare no expense or effort to build your father a long-desired bookshelf. You buy high-quality materials and watch motivated tutorials. He deserves it.	0.2023	neutral
18	Neif	neu	You and your siblings want to start a business. You share the work among yourself and everyone contributes their part.	0.3612	neutral
19	Neif	emo	You are enthusiastically developing the new homepage for a friend. You love him*her very much and want the homepage to make him*her happy.	0.9457	emotional
20	Zimerhubst	neu	You went to bed late last night because you made a to-do list for work. You need a stronger coffee than usual to wake up properly.	0.3818	neutral
21	Zimerhubst	emo	You slept poorly last night because you were worried about failing at work today. Now you feel powerless and it seems completely hopeless to be able to meet the deadline.	-0.8999	emotional
22	Zimerhubst	neu	You went to bed late last night because you wanted to watch another episode of your series. Now you need some time to really wake up. Your eyelids are heavy.	0.0	neutral
23	Zimerhubst	emo	You didn't sleep a wink last night because today's presentation scared you. You are trying desperately to concentrate. You are totally exhausted.	-0.807	emotional
24	Zimerhubst	neu	You stayed up later than usual last night because you were still on the phone. You're kind of sluggish and you buy an energy drink on your way to work.	-0.2247	neutral
25	Zimerhubst	emo	Worries about today's interview kept you awake. You're now sitting dejected in the waiting area and could collapse.	-0.8481	emotional
26	Zimerhubst	neu	You were at a party last night and didn't get home until late. Today you are slower than usual and you need a little longer for everything.	0.4019	neutral
27	Zimerhubst	emo	You didn't sleep last night because you had an argument with your partner in the evening. You feel completely powerless and helpless. You can hardly keep your eyes open from exhaustion.	-0.8947	emotional
28	Zimerhubst	neu	You sorted out your old clothes last night and lost track of time. When you wake up, you realize that your circulation is not really getting going.	-0.3182	neutral
29	Zimerhubst	emo	You were very restless last night because your mother is in the hospital and you are worried about her. You feel miserable and don't know how to make it through the day.	-0.7778	emotional
30	Zwelde	neu	You wake up as a child and you can still remember the story from your dream. You were in the forest and there were animals in it.	0.25	neutral
31	Zwelde	emo	As a child, you wake up satisfied from a beautiful dream. It's almost Christmas and you've been dreaming of great presents.	0.9153	emotional
32	Zwelde	neu	You woke up this morning and remembered your dream unusually well. You review the dream.	0.659	emotional
33	Zwelde	emo	You wake up from a wonderful dream in which you were praised and promoted by your boss. You feel inspired and happy.	0.9559	emotional
34	Zwelde	neu	You wake up in the morning and for a moment you don't know where you are. You dreamed that you were with your parents, but you are in your own apartment.	0.0	neutral
35	Zwelde	emo	The sun on your face gently wakes you up. You dreamed that you were relaxing on the beach. You smile and enjoy the cozy warmth.	0.9313	emotional
36	Zwelde	neu	You wake up in the morning after dreaming that all people own planes instead of cars. You remember your dream well.	0.4767	neutral
37	Zwelde	emo	You had an amazing lunchtime daydream about how you're going to have fun with your friends over the weekend. This motivates you to work.	0.8807	emotional
