	Wort	Sent Score (emo,neu)	Durchschnitt Score Emo	Durchschnitt Score Emo
0	Wunicher	[(-0.8625, 0.296), (-0.3804, 0.0), (-0.802, 0.0), (-0.3102, 0.0), (-0.6705, 0.5423)]	-0.6051200000000001	0.16766
1	Neif	[(0.8479, 0.0), (0.8689, 0.4939), (0.9287, 0.3818), (0.2023, 0.0), (0.9457, 0.3612)]	0.7587	0.24738
2	Zimerhubst	[(-0.8999, 0.3818), (-0.807, 0.0), (-0.8481, -0.2247), (-0.8947, 0.4019), (-0.7778, -0.3182)]	-0.8455	0.048159999999999994
3	Zwelde	[(0.9153, 0.25), (0.9559, 0.659), (0.9313, 0.0), (0.8807, 0.4767), (0.8689, 0.25)]	0.91042	0.32714
4	Herklögen	[(0.8689, 0.34), (0.9217, 0.0), (0.9153, 0.4939), (0.813, 0.0), (0.9169, 0.4939)]	0.88716	0.26556
5	Preier	[(0.1531, 0.2144), (-0.4514, 0.0), (-0.4216, 0.3612), (-0.5267, 0.0), (-0.6414, -0.402)]	-0.3776	0.034719999999999994
6	Muschürdur	[(-0.5267, 0.0878), (-0.8074, -0.1531), (-0.7848, -0.6486), (-0.6249, -0.296), (-0.6808, -0.4601)]	-0.6849200000000001	-0.294
7	Ismiprämpf	[(0.6124, 0.4939), (-0.2878, 0.0572), (0.0772, -0.4767), (0.7906, 0.0), (0.8934, 0.4939)]	0.41716	0.11366000000000001
8	Glühm	[(-0.4728, -0.2411), (-0.128, 0.3182), (0.0772, 0.0), (-0.2755, -0.2057), (0.0, -0.128)]	-0.15982	-0.05132000000000001
9	Rugliebast	[(-0.7506, 0.242), (0.4019, 0.0772), (-0.5719, 0.0772), (-0.4445, 0.4215), (-0.2373, 0.0772)]	-0.32048	0.17902
10	Wumeizauch	[(-0.5423, 0.0), (-0.7269, 0.0), (-0.8402, -0.4019), (-0.5293, 0.5267), (0.2705, 0.4019)]	-0.47363999999999995	0.10533999999999999
11	Häugnung	[(0.8777, 0.0), (0.9618, 0.0), (0.9412, 0.4019), (0.7964, 0.0), (0.9395, 0.0)]	0.9033200000000001	0.08038
12	Wupforau	[(0.4767, -0.128), (0.796, 0.0), (0.4939, 0.0), (0.8442, 0.6801), (0.5413, -0.128)]	0.63042	0.08482
13	Bismirbiel	[(-0.8838, 0.3182), (-0.1861, 0.0), (-0.7102, 0.0), (-0.8148, 0.4005), (-0.8625, -0.4767)]	-0.69148	0.0484
14	Enkmitas	[(-0.8885, -0.4588), (-0.431, -0.296), (-0.128, 0.0), (-0.6369, 0.0772), (0.0772, 0.2023)]	-0.4014399999999999	-0.09505999999999996
15	Mege	[(0.7964, 0.0), (0.6808, 0.4019), (0.7902, 0.0), (0.8016, 0.0), (0.9559, -0.4215)]	0.8049799999999999	-0.003920000000000002
16	Faube	[(0.5017, 0.0), (0.7466, 0.0), (0.5256, 0.5829), (0.4678, 0.0772), (0.6597, 0.34)]	0.5802799999999999	0.20002
17	Odef	[(0.7906, 0.0), (0.872, -0.6124), (0.9184, 0.0), (0.5719, -0.25), (0.5423, 0.25)]	0.7390399999999999	-0.12248
18	Skibt	[(0.9524, 0.3612), (0.9108, -0.0129), (0.9661, 0.1513), (0.9125, 0.0), (0.9217, 0.3612)]	0.9327	0.17216
19	Mölauzegt	[(-0.7351, 0.6597), (-0.6808, 0.2023), (-0.9001, 0.4767), (-0.7096, 0.5859), (-0.7263, 0.4215)]	-0.75038	0.46921999999999997
20	Troff	[(0.8858, 0.0), (-0.4404, 0.0), (0.7906, 0.0), (0.7346, 0.2732), (0.8316, 0.3818)]	0.56044	0.131
21	Bingsemöl	[(-0.7269, 0.0), (-0.4939, 0.4215), (-0.7717, 0.4939), (-0.8001, 0.0), (0.5334, 0.0)]	-0.4518400000000001	0.18308
22	Ferandsor	[(0.228, -0.0572), (-0.8957, 0.5719), (-0.7096, 0.7184), (-0.7906, -0.2755), (-0.2263, 0.6908)]	-0.47884000000000004	0.3296799999999999
23	Struk	[(0.1779, 0.4019), (0.507, 0.1901), (0.9571, 0.6956), (0.8625, 0.4019), (0.5859, 0.6908)]	0.6180800000000001	0.4760599999999999
24	Vul	[(-0.5423, 0.5719), (-0.8205, 0.0), (-0.6757, -0.1027), (0.2626, 0.6124), (-0.8537, 0.0772)]	-0.5259199999999999	0.23175999999999997
25	Namistell	[(0.4404, 0.0), (0.8932, -0.2263), (0.802, 0.0), (0.8625, 0.0), (0.8979, 0.0)]	0.7792	-0.04526
26	Weforshank	[(0.3897, 0.101), (0.7269, 0.4215), (0.91, 0.6486), (0.9545, 0.0), (0.7927, 0.4019)]	0.75476	0.3146
27	Plüpp	[(-0.9062, 0.0), (-0.8173, -0.5116), (-0.3612, 0.34), (-0.5574, -0.4404), (-0.743, 0.7184)]	-0.67702	0.021279999999999986
28	Bisknirgo	[(0.6705, 0.0), (0.7506, 0.0), (0.3818, 0.0), (0.8074, -0.5267), (0.9281, 0.3612)]	0.7076800000000001	-0.033099999999999984
29	Iberletsch	[(0.4215, 0.6124), (0.8658, 0.6124), (0.3818, 0.802), (0.6615, -0.0168), (0.8126, 0.3612)]	0.6286400000000001	0.4742400000000001
