	Wort	Sentimentscores der Definitionen (emo,neu)
0	Wunicher	[(-0.128, -0.296)]
1	Neif	[(0.6808, 0.0)]
2	Zimerhubst	[(-0.7096, -0.4215)]
3	Zwelde	[(0.9042, 0.25)]
4	Herklögen	[(0.7783, 0.0)]
5	Preier	[(-0.3612, 0.4404)]
6	Muschürdur	[(-0.802, -0.296)]
7	Ismiprämpf	[(-0.3182, 0.0)]
8	Glühm	[(0.4588, 0.0)]
9	Rugliebast	[(-0.5423, 0.0)]
10	Wumeizauch	[(-0.2263, 0.0)]
11	Häugnung	[(0.7351, 0.0)]
12	Wupforau	[(0.8126, 0.0)]
13	Bismirbiel	[(-0.6908, 0.0)]
14	Enkmitas	[(-0.4767, -0.2263)]
15	Mege	[(0.765, 0.0)]
16	Faube	[(0.6124, 0.0)]
17	Odef	[(0.34, 0.0)]
18	Skibt	[(0.8555, 0.4215)]
19	Mölauzegt	[(-0.8481, 0.0)]
20	Troff	[(0.6249, 0.25)]
21	Bingsemöl	[(0.6705, 0.2732)]
22	Ferandsor	[(-0.8126, 0.0)]
23	Struk	[(0.4215, 0.0)]
24	Vul	[(-0.4588, -0.2263)]
25	Namistell	[(0.6249, -0.4767)]
26	Weforshank	[(0.7003, 0.25)]
27	Plüpp	[(-0.6486, -0.4019)]
28	Bisknirgo	[(0.802, 0.6808)]
29	Iberletsch	[(0.8555, 0.0772)]
