	Wort	Sentimentscores der Beschreibungen (emo,neu)	Durchschnittsscore Emo	Durchschnittsscore Neu
0	Troff	[(0.8858, 0.0), (-0.4404, 0.0), (0.7906, 0.0), (0.7346, 0.2732), (0.8316, 0.3818)]	0.7366	0.131
1	Rugliebast	[(-0.7506, 0.242), (0.4019, 0.0772), (-0.5719, 0.0772), (-0.4445, 0.4215), (-0.2373, 0.0772)]	0.4812	0.179
2	Iberletsch	[(0.4215, 0.6124), (0.8658, 0.6124), (0.3818, 0.802), (0.6615, -0.0168), (0.8126, 0.3612)]	0.6286	0.481
3	Glühm	[(-0.4728, -0.2411), (-0.128, 0.3182), (0.0772, 0.0), (-0.2755, -0.2057), (0.0, -0.128)]	0.1907	0.1786
4	Mege	[(0.7964, 0.0), (0.6808, 0.4019), (0.7902, 0.0), (0.8016, 0.0), (0.9559, -0.4215)]	0.805	0.1647
5	Neif	[(0.8479, 0.0), (0.8689, 0.4939), (0.9287, 0.3818), (0.2023, 0.0), (0.9457, 0.3612)]	0.7587	0.2474
6	Wumeizauch	[(-0.5423, 0.0), (-0.7269, 0.0), (-0.8402, -0.4019), (-0.5293, 0.5267), (0.2705, 0.4019)]	0.5818	0.2661
7	Vul	[(-0.5423, 0.5719), (-0.8205, 0.0), (-0.6757, -0.1027), (0.2626, 0.6124), (-0.8537, 0.0772)]	0.631	0.2728
8	Bisknirgo	[(0.6705, 0.0), (0.7506, 0.0), (0.3818, 0.0), (0.8074, -0.5267), (0.9281, 0.3612)]	0.7077	0.1776
9	Weforshank	[(0.3897, 0.101), (0.7269, 0.4215), (0.91, 0.6486), (0.9545, 0.0), (0.7927, 0.4019)]	0.7548	0.3146
10	Enkmitas	[(-0.8885, -0.4588), (-0.431, -0.296), (-0.128, 0.0), (-0.6369, 0.0772), (0.0772, 0.2023)]	0.4323	0.2069
11	Zimerhubst	[(-0.8999, 0.3818), (-0.807, 0.0), (-0.8481, -0.2247), (-0.8947, 0.4019), (-0.7778, -0.3182)]	0.8455	0.2653
12	Wunicher	[(-0.8625, 0.296), (-0.3804, 0.0), (-0.802, 0.0), (-0.3102, 0.0), (-0.6705, 0.5423)]	0.6051	0.1677
13	Mölauzegt	[(-0.7351, 0.6597), (-0.6808, 0.2023), (-0.9001, 0.4767), (-0.7096, 0.5859), (-0.7263, 0.4215)]	0.7504	0.4692
14	Muschürdur	[(-0.5267, 0.0878), (-0.8074, -0.1531), (-0.7848, -0.6486), (-0.6249, -0.296), (-0.6808, -0.4601)]	0.6849	0.3291
15	Häugnung	[(0.8777, 0.0), (0.9618, 0.0), (0.9412, 0.4019), (0.7964, 0.0), (0.9395, 0.0)]	0.9033	0.0804
16	Bingsemöl	[(-0.7269, 0.0), (-0.4939, 0.4215), (-0.7717, 0.4939), (-0.8001, 0.0), (0.5334, 0.0)]	0.6652	0.1831
17	Namistell	[(0.4404, 0.0), (0.8932, -0.2263), (0.802, 0.0), (0.8625, 0.0), (0.8979, 0.0)]	0.7792	0.0453
18	Zwelde	[(0.9153, 0.25), (0.9559, 0.659), (0.9313, 0.0), (0.8807, 0.4767), (0.8689, 0.25)]	0.9104	0.3271
19	Preier	[(0.1531, 0.2144), (-0.4514, 0.0), (-0.4216, 0.3612), (-0.5267, 0.0), (-0.6414, -0.402)]	0.4388	0.1955
20	Plüpp	[(-0.9062, 0.0), (-0.8173, -0.5116), (-0.3612, 0.34), (-0.5574, -0.4404), (-0.743, 0.7184)]	0.677	0.4021
21	Ferandsor	[(0.228, -0.0572), (-0.8957, 0.5719), (-0.7096, 0.7184), (-0.7906, -0.2755), (-0.2263, 0.6908)]	0.57	0.4628
22	Herklögen	[(0.8689, 0.34), (0.9217, 0.0), (0.9153, 0.4939), (0.813, 0.0), (0.9169, 0.4939)]	0.8872	0.2656
23	Faube	[(0.5017, 0.0), (0.7466, 0.0), (0.5256, 0.5829), (0.4678, 0.0772), (0.6597, 0.34)]	0.5803	0.2
24	Wupforau	[(0.4767, -0.128), (0.796, 0.0), (0.4939, 0.0), (0.8442, 0.6801), (0.5413, -0.128)]	0.6304	0.1872
25	Struk	[(0.1779, 0.4019), (0.507, 0.1901), (0.9571, 0.6956), (0.8625, 0.4019), (0.5859, 0.6908)]	0.6181	0.4761
26	Ismiprämpf	[(0.6124, 0.4939), (-0.2878, 0.0572), (0.0772, -0.4767), (0.7906, 0.0), (0.8934, 0.4939)]	0.5323	0.3043
27	Odef	[(0.7906, 0.0), (0.872, -0.6124), (0.9184, 0.0), (0.5719, -0.25), (0.5423, 0.25)]	0.739	0.2225
28	Skibt	[(0.9524, 0.3612), (0.9108, -0.0129), (0.9661, 0.1513), (0.9125, 0.0), (0.9217, 0.3612)]	0.9327	0.1773
29	Bismirbiel	[(-0.8838, 0.3182), (-0.1861, 0.0), (-0.7102, 0.0), (-0.8148, 0.4005), (-0.8625, -0.4767)]	0.6915	0.2391
