"VP_Code","arousal_rating","trials_word.thisIndex","word","code","group","valence_rating","arousal","time"
"CL10SL",1,6,"Muschürdur","emo","Control",-3,3,"pre"
"CL10SL",5,12,"Wupforau","emo","Control",1,1,"pre"
"CL10SL",7,4,"Herklögen","emo","Control",3,3,"pre"
"CL10SL",3,29,"Ferandsor","neu","Control",-1,1,"pre"
"CL10SL",7,3,"Zwelde","emo","Control",3,3,"pre"
"CL10SL",5,23,"Iberletsch","neu","Control",1,1,"pre"
"CL10SL",5,20,"Struk","neu","Control",1,1,"pre"
"CL10SL",2,10,"Wumeizauch","emo","Control",-2,2,"pre"
"CL10SL",6,1,"Neif","emo","Control",2,2,"pre"
"CL10SL",7,28,"Bisknirgo","emo","Control",3,3,"pre"
"CL10SL",2,17,"Plüpp","neu","Control",-2,2,"pre"
"CL10SL",6,15,"Mege","emo","Control",2,2,"pre"
"CL10SL",6,9,"Rugliebast","emo","Control",2,2,"pre"
"CL10SL",5,21,"Mölauzegt","neu","Control",1,1,"pre"
"CL10SL",2,24,"Troff","neu","Control",-2,2,"pre"
"CL10SL",1,2,"Zimerhubst","emo","Control",-3,3,"pre"
"CL10SL",5,18,"Skibt","neu","Control",1,1,"pre"
"CL10SL",3,5,"Preier","emo","Control",-1,1,"pre"
"CL10SL",2,27,"Wunicher","emo","Control",-2,2,"pre"
"CL10SL",2,8,"Glühm","neu","Control",-2,2,"pre"
"CL10SL",7,25,"Odef","neu","Control",3,3,"pre"
"CL10SL",3,7,"Ismiprämpf","emo","Control",-1,1,"pre"
"CL10SL",2,13,"Bismirbiel","emo","Control",-2,2,"pre"
"CL10SL",5,11,"Häugnung","neu","Control",1,1,"pre"
"CL10SL",2,14,"Enkmitas","emo","Control",-2,2,"pre"
"CL10SL",7,19,"Namistell","neu","Control",3,3,"pre"
"CL10SL",6,16,"Weforshank","neu","Control",2,2,"pre"
"CL10SL",3,26,"Faube","neu","Control",-1,1,"pre"
"CL10SL",2,0,"Vul","neu","Control",-2,2,"pre"
"CL10SL",4,22,"Bingsemöl","neu","Control",0,0,"pre"
"AG10TF",5,25,"Odef","neu","Control",1,1,"pre"
"AG10TF",2,27,"Wunicher","emo","Control",-2,2,"pre"
"AG10TF",3,0,"Vul","neu","Control",-1,1,"pre"
"AG10TF",7,28,"Bisknirgo","emo","Control",3,3,"pre"
"AG10TF",2,5,"Preier","emo","Control",-2,2,"pre"
"AG10TF",4,22,"Bingsemöl","neu","Control",0,0,"pre"
"AG10TF",5,18,"Skibt","neu","Control",1,1,"pre"
"AG10TF",2,13,"Bismirbiel","emo","Control",-2,2,"pre"
"AG10TF",4,26,"Faube","neu","Control",0,0,"pre"
"AG10TF",5,20,"Struk","neu","Control",1,1,"pre"
"AG10TF",2,10,"Wumeizauch","emo","Control",-2,2,"pre"
"AG10TF",6,3,"Zwelde","emo","Control",2,2,"pre"
"AG10TF",3,8,"Glühm","neu","Control",-1,1,"pre"
"AG10TF",1,2,"Zimerhubst","emo","Control",-3,3,"pre"
"AG10TF",3,14,"Enkmitas","emo","Control",-1,1,"pre"
"AG10TF",5,23,"Iberletsch","neu","Control",1,1,"pre"
"AG10TF",2,9,"Rugliebast","emo","Control",-2,2,"pre"
"AG10TF",5,12,"Wupforau","emo","Control",1,1,"pre"
"AG10TF",3,17,"Plüpp","neu","Control",-1,1,"pre"
"AG10TF",4,11,"Häugnung","neu","Control",0,0,"pre"
"AG10TF",6,15,"Mege","emo","Control",2,2,"pre"
"AG10TF",6,19,"Namistell","neu","Control",2,2,"pre"
"AG10TF",7,4,"Herklögen","emo","Control",3,3,"pre"
"AG10TF",4,21,"Mölauzegt","neu","Control",0,0,"pre"
"AG10TF",4,24,"Troff","neu","Control",0,0,"pre"
"AG10TF",6,1,"Neif","emo","Control",2,2,"pre"
"AG10TF",2,6,"Muschürdur","emo","Control",-2,2,"pre"
"AG10TF",7,16,"Weforshank","neu","Control",3,3,"pre"
"AG10TF",6,7,"Ismiprämpf","emo","Control",2,2,"pre"
"AG10TF",3,29,"Ferandsor","neu","Control",-1,1,"pre"
"ST23WL",6,16,"Weforshank","neu","Control",2,2,"pre"
"ST23WL",2,21,"Mölauzegt","neu","Control",-2,2,"pre"
"ST23WL",2,2,"Zimerhubst","emo","Control",-2,2,"pre"
"ST23WL",7,28,"Bisknirgo","emo","Control",3,3,"pre"
"ST23WL",6,1,"Neif","emo","Control",2,2,"pre"
"ST23WL",6,4,"Herklögen","emo","Control",2,2,"pre"
"ST23WL",4,25,"Odef","neu","Control",0,0,"pre"
"ST23WL",3,29,"Ferandsor","neu","Control",-1,1,"pre"
"ST23WL",1,6,"Muschürdur","emo","Control",-3,3,"pre"
"ST23WL",5,26,"Faube","neu","Control",1,1,"pre"
"ST23WL",3,17,"Plüpp","neu","Control",-1,1,"pre"
"ST23WL",4,23,"Iberletsch","neu","Control",0,0,"pre"
"ST23WL",4,11,"Häugnung","neu","Control",0,0,"pre"
"ST23WL",5,22,"Bingsemöl","neu","Control",1,1,"pre"
"ST23WL",5,18,"Skibt","neu","Control",1,1,"pre"
"ST23WL",2,10,"Wumeizauch","emo","Control",-2,2,"pre"
"ST23WL",2,27,"Wunicher","emo","Control",-2,2,"pre"
"ST23WL",4,8,"Glühm","neu","Control",0,0,"pre"
"ST23WL",7,19,"Namistell","neu","Control",3,3,"pre"
"ST23WL",3,9,"Rugliebast","emo","Control",-1,1,"pre"
"ST23WL",5,12,"Wupforau","emo","Control",1,1,"pre"
"ST23WL",4,5,"Preier","emo","Control",0,0,"pre"
"ST23WL",4,24,"Troff","neu","Control",0,0,"pre"
"ST23WL",4,13,"Bismirbiel","emo","Control",0,0,"pre"
"ST23WL",5,7,"Ismiprämpf","emo","Control",1,1,"pre"
"ST23WL",5,20,"Struk","neu","Control",1,1,"pre"
"ST23WL",4,15,"Mege","emo","Control",0,0,"pre"
"ST23WL",4,0,"Vul","neu","Control",0,0,"pre"
"ST23WL",6,3,"Zwelde","emo","Control",2,2,"pre"
"ST23WL",2,14,"Enkmitas","emo","Control",-2,2,"pre"
"ER1WN",1,6,"Muschürdur","emo","Control",-3,3,"pre"
"ER1WN",6,18,"Skibt","neu","Control",2,2,"pre"
"ER1WN",6,23,"Iberletsch","neu","Control",2,2,"pre"
"ER1WN",2,14,"Enkmitas","emo","Control",-2,2,"pre"
"ER1WN",2,10,"Wumeizauch","emo","Control",-2,2,"pre"
"ER1WN",2,27,"Wunicher","emo","Control",-2,2,"pre"
